Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa1	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
065S11/07 PQ		Sklejka liściasta foliowana 6,5x1500x2500		szt		0	0,00	0,00		
065S11/07 PQ F		Sklejka liściasta laminowana 6,5x1500x2500		szt		0	0,00	0,00		
065S11/09 E		Sklejka liściasta wodoodporna 6,5x1525x2500 kilo		szt		0	0,00	0,00		
065S11/106 PQ F		Sklejka liściasta foliowana 6,5x1850x1220		szt		0	0,00	0,00		
065S11/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 kilo		szt		3,0099	89,89	270,57		
065S11/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 kilo		szt		0	0,00	0,00		
065S11/12 PQ		Sklejka liściasta suchotrwała 6,5x1500x3000		szt		0	0,00	0,00		
065S11/12 PQ F		Sklejka liściasta foliowana 6,5x1500x3000		szt		32,0342	60,46	1936,84		
065S11/26 PQ		Sklejka liściasta wodoodporna 6,5x2150x1250		szt		0	0,00	0,00		
065S11/26 PQ F		Sklejka liściasta wodoodporna 6,5x2150x1250		szt		0	0,00	0,00		
065S11/29 E		Sklejka liściasta wodoodporna 6,5x1250x3050		szt		21,9735	67,70	1487,56		
065S11/56 E		Sklejka liściasta wodoodporna 6,5x1525x2750 kilo		szt		0	0,00	0,00		
065S11/60 E		Sklejka liściasta wodoodporna 6,5x1250x2750		szt		0	0,00	0,00		
065S11/64 PQ		Sklejka liściasta wodoodporna 6,5x1200x2400 kilo PQ		szt		0	0,00	0,00		
065S11/65 PQ		Sklejka liściasta suchotrwała 6,5x1525x2150		szt		0	0,00	0,00		
065S11/69 E		Sklejka liściasta wodoodporna 6,5x2150x1525 kilo		szt		0	0,00	0,00		
065S11/69 PQ		Sklejka liściasta wodoodporna 6,5x2150x1525 kilo		szt		0	0,00	0,00		
065S11/69 PQ F		Sklejka liściasta foliowana 6,5x2150x1525 kilo		szt		34,9551	41,39	1446,77		
065S11/72 F/F		Sklejka liściasta foliowana 6,5x780x1960mm		szt		0	0,00	0,00		
065S12/03 F/F		Sklejka liściasta foliowana 6,5x1220x2440 F/F		szt		0	0,00	0,00		
